,Media,Positive score,Neutral score,Negative score,Compound score,Date Created,Tweets Ago
95,CNN,0.145,0.855,0.0,0.5994,2018-08-28 19:01:02+00:00,-95
96,CNN,0.325,0.579,0.096,0.7278,2018-08-28 19:00:27+00:00,-96
97,CNN,0.0,0.652,0.348,-0.7506,2018-08-28 19:00:09+00:00,-97
98,CNN,0.198,0.802,0.0,0.6369,2018-08-28 18:50:26+00:00,-98
99,CNN,0.0,0.873,0.127,-0.4404,2018-08-28 18:50:06+00:00,-99
0,BBC,0.0,1.0,0.0,0.0,2018-08-28 18:56:05+00:00,0
1,BBC,0.22,0.78,0.0,0.5423,2018-08-28 18:03:04+00:00,-1
2,BBC,0.0,1.0,0.0,0.0,2018-08-28 16:01:02+00:00,-2
3,BBC,0.205,0.795,0.0,0.5994,2018-08-28 14:51:38+00:00,-3
4,BBC,0.152,0.848,0.0,0.3612,2018-08-28 14:51:32+00:00,-4
5,BBC,0.0,1.0,0.0,0.0,2018-08-28 13:02:04+00:00,-5
6,BBC,0.0,1.0,0.0,0.0,2018-08-28 12:48:59+00:00,-6
7,BBC,0.272,0.728,0.0,0.4767,2018-08-28 12:00:18+00:00,-7
8,BBC,0.37,0.63,0.0,0.8316,2018-08-28 11:33:00+00:00,-8
9,BBC,0.0,0.896,0.104,-0.296,2018-08-28 11:01:01+00:00,-9
10,BBC,0.177,0.823,0.0,0.4215,2018-08-28 08:00:16+00:00,-10
11,BBC,0.0,1.0,0.0,0.0,2018-08-28 07:26:06+00:00,-11
12,BBC,0.103,0.821,0.077,0.128,2018-08-28 07:00:13+00:00,-12
13,BBC,0.194,0.806,0.0,0.624,2018-08-27 20:01:03+00:00,-13
14,BBC,0.064,0.936,0.0,0.0772,2018-08-27 19:36:00+00:00,-14
15,BBC,0.186,0.752,0.062,0.5859,2018-08-27 19:03:04+00:00,-15
16,BBC,0.0,0.862,0.138,-0.4939,2018-08-27 18:12:05+00:00,-16
17,BBC,0.0,1.0,0.0,0.0,2018-08-27 17:05:04+00:00,-17
18,BBC,0.056,0.944,0.0,0.0772,2018-08-27 16:03:04+00:00,-18
19,BBC,0.0,1.0,0.0,0.0,2018-08-27 14:08:03+00:00,-19
20,BBC,0.109,0.891,0.0,0.296,2018-08-27 12:11:04+00:00,-20
21,BBC,0.207,0.793,0.0,0.5719,2018-08-27 10:05:03+00:00,-21
22,BBC,0.0,1.0,0.0,0.0,2018-08-27 09:01:02+00:00,-22
23,BBC,0.0,0.843,0.157,-0.3818,2018-08-27 08:10:04+00:00,-23
24,BBC,0.0,0.828,0.172,-0.4003,2018-08-26 19:39:07+00:00,-24
25,BBC,0.122,0.469,0.408,-0.7269,2018-08-26 19:13:06+00:00,-25
26,BBC,0.0,1.0,0.0,0.0,2018-08-26 18:05:00+00:00,-26
27,BBC,0.381,0.619,0.0,0.5719,2018-08-26 16:46:09+00:00,-27
28,BBC,0.0,1.0,0.0,0.0,2018-08-26 16:32:00+00:00,-28
29,BBC,0.124,0.81,0.067,0.296,2018-08-26 15:05:02+00:00,-29
30,BBC,0.0,1.0,0.0,0.0,2018-08-26 14:07:04+00:00,-30
31,BBC,0.0,0.705,0.295,-0.6808,2018-08-26 12:06:05+00:00,-31
32,BBC,0.132,0.868,0.0,0.4404,2018-08-26 11:01:06+00:00,-32
33,BBC,0.0,1.0,0.0,0.0,2018-08-26 10:09:08+00:00,-33
34,BBC,0.091,0.909,0.0,0.2023,2018-08-26 09:26:05+00:00,-34
35,BBC,0.139,0.861,0.0,0.4404,2018-08-26 09:08:05+00:00,-35
36,BBC,0.0,0.843,0.157,-0.5994,2018-08-26 08:00:14+00:00,-36
37,BBC,0.0,1.0,0.0,0.0,2018-08-26 07:42:20+00:00,-37
38,BBC,0.0,1.0,0.0,0.0,2018-08-26 07:12:02+00:00,-38
39,BBC,0.244,0.756,0.0,0.7003,2018-08-25 21:01:07+00:00,-39
40,BBC,0.285,0.715,0.0,0.4199,2018-08-25 18:07:04+00:00,-40
41,BBC,0.137,0.863,0.0,0.4019,2018-08-25 17:18:16+00:00,-41
42,BBC,0.318,0.682,0.0,0.6369,2018-08-25 17:18:08+00:00,-42
43,BBC,0.0,1.0,0.0,0.0,2018-08-25 17:00:19+00:00,-43
44,BBC,0.184,0.816,0.0,0.4019,2018-08-25 16:00:15+00:00,-44
45,BBC,0.393,0.607,0.0,0.8271,2018-08-25 15:02:06+00:00,-45
46,BBC,0.167,0.833,0.0,0.4215,2018-08-25 14:42:30+00:00,-46
47,BBC,0.0,1.0,0.0,0.0,2018-08-25 14:00:15+00:00,-47
48,BBC,0.161,0.839,0.0,0.3612,2018-08-25 13:00:20+00:00,-48
49,BBC,0.16,0.638,0.202,-0.1027,2018-08-25 12:00:17+00:00,-49
